Subject,Trait,Value,Action,Rating,Relevance
Food,Mateable,no,MatingOff,2,105
Org,Size,smaller,Eat,2,78
Org,Newborn,no,MoveAway,6,66
Org,Color,1,Idle,5,66
Org,Mateable,no,MoveAway,5,136
Org,Newborn,yes,Eat,0,153
Org,Proximity,far,MatingOn,3,136
Org,Color,2,Idle,2,78
Org,Proximity,far,Idle,3,66
Org,Mateable,no,MatingOff,5,36
Food,Size,similar,MoveAway,4,36
Org,Proximity,far,Attack,6,28
Org,Size,smaller,Eat,3,253
Food,Newborn,yes,Eat,1,91
Food,Size,larger,Eat,4,496
Org,Proximity,near,Attack,1,45
Org,Proximity,far,Idle,4,190
Org,Proximity,far,Attack,1,70
Org,Color,5,MatingOn,6,190
Org,Proximity,far,Attack,0,136
Org,Mateable,no,Attack,1,36
Org,Mateable,no,MoveAway,0,105
Org,Size,smaller,MoveToward,4,105
Food,Size,larger,MoveToward,2,36
Org,Newborn,no,MatingOff,4,66
Org,Size,larger,MoveToward,3,91
Org,Color,0,MatingOn,0,36
Org,Size,larger,MoveAway,1,171
Org,Color,7,Attack,0,120
Food,Proximity,near,MatingOff,0,136
Food,Size,smaller,Eat,0,153
Org,Color,3,Eat,2,1128
Org,Proximity,near,Eat,3,91
Food,Newborn,yes,MatingOff,4,136
Org,Color,1,MatingOff,0,66
Org,Color,1,MoveAway,7,105
Food,Color,0,Attack,6,45
Org,Color,6,Eat,4,171
Org,Size,smaller,MatingOn,2,136
Org,Mateable,no,MoveToward,0,21
Food,Proximity,far,MoveToward,2,36
Food,Size,similar,Attack,7,190
Food,Color,6,Idle,3,36
Org,Newborn,yes,MatingOn,1,66
Food,Color,1,MatingOn,3,45
Food,Proximity,far,Eat,2,91
Org,Size,smaller,Eat,1,2278
Org,Mateable,yes,MatingOn,2,66
Food,Mateable,yes,Attack,7,45
Org,Color,1,MoveToward,5,36
Org,Size,similar,MatingOn,4,45
Org,Color,6,MatingOff,0,45
Org,Size,smaller,Attack,7,45
Food,Size,similar,MatingOn,1,136
Org,Proximity,far,MatingOn,2,66
Org,Newborn,no,Attack,2,105
Food,Proximity,far,MoveToward,6,36
Food,Color,6,Eat,4,120
Org,Size,larger,Eat,4,171
Org,Mateable,yes,MatingOff,0,55
Org,Size,similar,Idle,3,45
Org,Proximity,near,Idle,4,190
Food,Size,similar,MatingOff,7,136
Org,Color,0,Eat,6,1653
Org,Size,larger,MatingOn,4,45
Food,Mateable,yes,Eat,2,4465
Org,Newborn,yes,Eat,3,190
Org,Mateable,no,MoveToward,6,36
Org,Size,similar,Idle,4,15
Org,Color,1,Eat,7,120
Food,Proximity,near,Eat,1,276
Org,Size,larger,Attack,5,45
Org,Size,larger,Attack,2,28
Org,Mateable,yes,MoveToward,6,45
Food,Mateable,no,MatingOff,1,15
Org,Proximity,far,MatingOn,1,21
Food,Newborn,no,Eat,7,496
Food,Color,4,MatingOn,4,66
Org,Size,smaller,MatingOff,2,136
Org,Proximity,near,MatingOn,6,78
Org,Color,0,Attack,7,28
Org,Proximity,far,Eat,2,120
Org,Color,5,MatingOn,3,36
Org,Newborn,no,MoveAway,5,105
Food,Proximity,near,Attack,7,78
Food,Size,similar,MatingOn,6,136
Org,Color,1,MoveToward,7,21
Food,Mateable,no,MatingOff,7,45
Org,Proximity,far,Eat,1,406
Food,Newborn,yes,Attack,3,15
Org,Proximity,near,Attack,5,21
Food,Newborn,yes,Eat,0,120
Food,Color,3,MatingOff,6,66
Food,Color,2,Attack,2,136
Food,Newborn,yes,Idle,0,15
Org,Mateable,no,Eat,6,1128
Food,Size,larger,Eat,6,12880
Org,Size,smaller,MoveAway,1,66
