Subject,Trait,Value,Action,Rating,Relevance
Food,Color,7,MoveToward,0,66
Org,Mateable,yes,Eat,7,36
Org,Color,4,Eat,6,378
Org,Proximity,near,MoveToward,3,45
Food,Newborn,yes,MoveToward,5,36
Org,Color,2,MoveAway,6,45
Org,Mateable,no,MatingOn,3,190
Food,Newborn,no,MatingOn,7,45
Food,Color,3,Idle,6,45
Org,Color,1,MoveToward,0,55
Food,Color,7,Idle,2,36
Org,Size,larger,MatingOff,2,123
Org,Mateable,yes,Idle,5,45
Org,Mateable,no,MatingOn,0,15
Food,Proximity,near,Eat,3,4465
Org,Mateable,no,MatingOff,1,36
Food,Newborn,yes,Eat,0,496
Org,Color,0,MatingOff,4,190
Food,Newborn,yes,MoveAway,7,136
Org,Color,7,MoveAway,0,36
Org,Color,1,MatingOn,1,136
Food,Color,7,Attack,0,190
Food,Color,4,Eat,6,276
Food,Proximity,far,Idle,4,36
Org,Proximity,far,MoveToward,4,78
Org,Proximity,near,MatingOn,7,78
Food,Size,larger,MatingOn,5,78
Org,Newborn,yes,MoveToward,3,190
Org,Color,5,MatingOn,0,45
Org,Size,larger,MoveToward,0,36
Org,Color,4,Eat,0,666
Food,Proximity,far,Attack,5,136
Food,Newborn,no,MatingOn,3,45
Food,Proximity,near,Attack,6,45
Org,Color,1,MoveToward,2,66
Org,Color,3,MatingOff,3,66
Org,Newborn,no,Eat,3,171
Food,Size,larger,MatingOn,2,78
Org,Color,7,MoveToward,2,105
Food,Color,4,MatingOff,2,136
Org,Proximity,near,MatingOn,3,66
Org,Proximity,near,MoveAway,2,45
Food,Size,larger,Eat,3,171
Org,Mateable,yes,MatingOn,2,78
Org,Color,3,Idle,6,121
Org,Proximity,near,Eat,0,703
Org,Proximity,near,Eat,4,120
Org,Size,similar,Eat,4,105
Food,Color,5,Eat,0,14535
Food,Proximity,far,Eat,3,105
Org,Proximity,near,Eat,6,2346
Org,Proximity,near,MatingOff,7,36
Org,Size,similar,Idle,0,45
Org,Size,smaller,MoveToward,2,190
Org,Proximity,near,Eat,3,171
Org,Proximity,near,MatingOff,5,66
Org,Newborn,no,MoveAway,7,190
Org,Proximity,near,MatingOff,3,190
Food,Proximity,near,MatingOff,7,36
Org,Color,6,MatingOn,6,45
Org,Size,smaller,Idle,2,190
Org,Proximity,far,MatingOn,2,45
Org,Size,smaller,Eat,4,253
Org,Proximity,near,Eat,1,276
Org,Proximity,far,Eat,3,276
Org,Color,4,MatingOff,3,66
Food,Mateable,no,MoveAway,4,36
Food,Newborn,no,Attack,2,190
Org,Proximity,near,Attack,6,120
Org,Size,smaller,MatingOff,3,36
Org,Color,4,MoveAway,6,36
Org,Color,1,Eat,7,903
Org,Newborn,yes,Attack,6,36
Food,Newborn,no,Eat,3,171
Org,Size,smaller,MoveAway,7,45
Org,Size,similar,Eat,1,496
Org,Size,smaller,MoveAway,2,78
Org,Mateable,yes,MatingOn,1,66
Org,Mateable,no,MatingOn,1,78
Food,Mateable,no,MatingOn,0,66
Org,Proximity,near,MoveAway,0,78
Food,Size,larger,Idle,5,136
Org,Color,6,MoveToward,4,136
Org,Color,5,Eat,2,1128
Food,Proximity,near,MoveAway,1,78
Org,Size,similar,Attack,4,105
Org,Proximity,far,MoveAway,7,45
Food,Size,smaller,Eat,5,496
Org,Mateable,yes,Idle,3,36
Org,Size,similar,MatingOn,4,45
Food,Color,4,Idle,4,36
Food,Newborn,no,MatingOff,5,78
Org,Newborn,no,MoveToward,3,36
Food,Proximity,near,MatingOn,0,105
Org,Proximity,far,Eat,4,561
Org,Color,6,MatingOn,1,136
Food,Proximity,near,Eat,1,4465
Food,Size,larger,MatingOff,4,36
